106.305,5.44776,1.712,25.4568,54.455,24,-88,-5,2,52,106.286,1,1,49.5807,
148.316,2.15943,0.732,23.6004,21.485,29,-74,-5,15,66,148.311,1,1,47.8617,
240.297,4.729,2.182,17.3382,47.916,13,-86,-6,2,54,240.288,1,1,74.4192,
276.277,1.84999,1.001,14.7852,18.715,22,-73,-5,2,67,276.272,1,1,46.7155,
372.268,4.93511,1.731,22.8081,49.436,26,-81,-5,2,59,372.258,1,1,121.387,
414.288,2.15861,1.005,17.1829,21.73,21,-84,-6,2,56,414.282,1,1,125.353,
471.301,2.92907,1.308,17.9148,29.547,18,-76,-5,2,64,471.294,1,1,128.746,
556.301,4.36934,1.635,21.379,43.873,16,-84,-6,2,56,556.292,1,1,80.5703,
615.284,3.03306,1.218,19.9216,30.439,22,-83,-5,2,57,615.277,1,1,35.8729,
699.297,4.31985,1.632,21.1757,43.366,17,-86,-5,2,54,699.288,1,1,44.1791,
765.284,3.39244,1.404,19.3301,34.126,19,-74,-6,2,66,765.276,1,1,42.4957,
