42.323,2.15902,1.606,10.7547,22.333,24,-84,-6,2,56,42.317,1,1,43.6934,
59.331,0.87425,1.174,5.95741,9.408,29,-76,-4,15,64,59.33,1,1,0,
180.34,6.21822,3.42,14.5456,63.663,18,-86,-7,13,54,180.323,1,1,30.4053,
256.322,3.90587,2.461,12.6969,40.186,30,-91,-5,10,49,256.314,1,1,0,
266.319,0.514633,0.726,5.67089,5.447,30,-92,-6,10,48,266.318,1,1,0,
278.316,0.61693,0.752,6.56309,6.471,29,-92,-5,15,48,278.314,1,1,0,
383.343,5.39809,3.554,12.151,55.8,22,-88,-7,14,52,383.326,1,1,23.562,
477.338,4.83316,5.171,7.47733,51.912,18,-99,-6,2,41,477.322,1,1,53.2271,
528.32,2.62121,2.195,9.55337,27.418,24,-88,-6,2,52,528.314,1,1,44.601,
538.33,0.513904,0.662,6.21032,5.395,33,-83,-5,15,57,538.329,1,1,55.7623,
549.312,0.566104,0.71,6.37864,5.925,30,-82,-5,15,58,549.31,1,1,51.2798,
559.33,0.51429,0.714,5.76235,5.447,33,-90,-6,15,50,559.329,1,1,42.2187,
570.312,0.565384,0.691,6.54569,5.906,27,-93,-7,13,47,570.31,1,1,29.2427,
690.339,6.168,5.44,9.07058,65.182,2,-102,-9,5,38,690.326,1,1,51.6748,
811.344,6.21997,82.171,0.605564,142.417,6,-109,-7,7,31,811.327,1,1,43.921,
932.346,6.21934,5.714,8.70751,65.963,13,-99,-8,15,41,932.328,1,1,55.2005,
959.317,1.38794,1.416,7.84145,14.636,27,-93,-6,2,47,959.313,1,1,61.8135,
975.308,0.821808,1.198,5.48787,8.909,22,-97,-6,11,43,975.306,1,1,56.6627,
