0,177,16,-82,-6.5,8.5
0,178,14.4,-84.143,-8.0857,9.3143
0,179,12.784,-85.386,-8.6818,9.5568
0,180,11.197,-85.061,-8.7121,8.3636
0,181,11.091,-81.309,-7.0182,6.2364
0,182,15.81,-82.429,-6.4921,9.7778
0,183,20.629,-84.584,-6.1011,10.978
0,184,20,-85.667,-6.3333,8
1,176,19.984,-78.918,-7.1639,11.377
1,177,17.037,-81.759,-7.537,10.556
1,178,15.269,-84.769,-7.9615,9.5
1,183,20,-83.5,-5.625,10.25
1,184,22.153,-82.712,-5.5932,12.017
1,185,23.015,-81.433,-5.3134,11.866
1,186,19,-80,-5,8.5
1,189,13.68,-90.82,-6.02,9.02
1,190,14.242,-89.158,-5.7474,10.305
1,191,15.839,-89.822,-5.839,11.059
1,192,17.629,-86.743,-5.2286,9.2571
10,161,13.5,-88,-6.5,5
10,162,18.113,-89.038,-6.8113,9.8868
10,163,17.619,-88.238,-6.4762,10.905
10,196,15.122,-87.585,-5.6585,8.439
10,197,16.683,-88.017,-5.4,10.133
100,201,7.4154,-96.469,-7.4077,5.4846
100,202,6.1538,-95.846,-7.0769,4.4615
100,43,23.976,-78.854,-5.0732,9.4146
100,44,26.714,-77.857,-5,12.571
101,201,4,-100.9,-8.7059,4.2132
101,202,6,-101,-8,10
101,42,24.889,-80,-4.9259,10.481
101,43,26.783,-79.739,-5.3043,9.6087
102,201,3.6147,-102.43,-8.7339,4.7523
102,41,23.417,-81.792,-4.9583,9.8333
102,42,25.833,-79.917,-5.4167,8.0833
103,201,0.90517,-103.56,-9.9828,4.1379
103,40,21.727,-82.318,-5.1364,9.5
103,41,23.043,-80.652,-5.1739,8.7826
104,200,6.7143,-99.143,-7.5714,8.7143
104,201,3.9538,-101.42,-8.7487,5.4974
104,39,20.5,-81,-5,13
104,40,19.727,-83.023,-5.5,9.3864
105,200,12.579,-94.421,-6.1184,8.1316
105,201,10.742,-95.882,-6.6416,7.2796
105,39,14.684,-84.842,-5.9737,10.105
105,40,20,-82.857,-5.2857,8.2857
106,200,10.828,-95.281,-6.5468,6.7734
106,201,11.331,-96.048,-7.0602,5.759
106,38,11.5,-85.731,-5.8462,10.077
106,39,13.75,-87.167,-6,11.833
107,200,7.3172,-95.414,-7.3103,6.0069
107,201,12,-95.6,-6.6,3.2
107,37,12.786,-83.071,-5.6429,11
