11.545,0.56519,0.574,7.8772,5.776,19,-93,-8,11,47,11.544,1,1,0
53.584,2.1594,2.11,8.1874,22.806,10,-95,-9,8,45,53.578,1,1,36.965
88.594,1.8004,1.987,7.2486,19.181,14,-91,-8,10,49,88.589,1,1,43.535
127.66,2.0044,1.958,8.1898,21.222,10,-82,-5,2,58,127.66,1,1,54.994
158.57,1.5935,1.181,10.794,16.354,25,-80,-6,15,60,158.57,1,1,54.419
214.58,2.879,1.452,15.862,29.137,25,-82,-4,14,58,214.58,1,1,59.163
252.59,1.9544,1.248,12.528,19.931,22,-85,-6,15,55,252.58,1,1,70.645
283.6,1.5936,1.227,10.39,16.429,27,-82,-5,15,58,283.6,1,1,47.598
387.58,5.3467,2.316,18.469,53.997,13,-88,-6,15,52,387.57,1,1,80.093
417.57,1.5423,1.055,11.695,15.73,33,-70,-6,15,70,417.57,1,1,84.03
447.59,1.5416,1.238,9.9617,15.926,22,-81,-6,1,59,447.59,1,1,85.428
525.58,4.0095,2.094,15.318,40.772,11,-91,-7,9,49,525.57,1,1,77.174
557.61,1.6454,1.102,11.945,16.807,25,-77,-4,6,63,557.61,1,1,84.389
588.59,1.5926,1.097,11.615,16.287,7,-82,-6,10,58,588.58,1,1,78.396
620.61,1.645,1.191,11.049,16.91,28,-84,-6,15,56,620.61,1,1,85.236
651.6,1.5932,1.153,11.054,16.357,10,-76,-5,6,64,651.59,1,1,59.68
683.59,1.6453,1.162,11.328,16.851,10,-85,-5,11,55,683.59,1,1,58.004
714.58,1.5934,1.163,10.961,16.342,30,-77,-5,15,63,714.57,1,1,28.128
783.59,3.5468,4.087,6.9426,38.278,13,-85,-6,2,55,783.58,1,1,45.336
813.58,1.5415,1.154,10.687,15.835,22,-75,-9,15,65,813.58,1,1,42.499
847.58,1.7477,1.299,10.764,17.983,19,-86,-5,13,54,847.57,1,1,38.096
