1.293,0.051496,0.433,0.951427,0.664,21,-87,-5,12,53,1.293,1,1,0,
40.392,2.00496,1.65,9.72101,20.915,21,-91,-7,2,49,40.387,1,1,42.9047,
71.372,1.59299,1.483,8.59333,16.728,19,-83,-7,2,57,71.367,1,1,0,
150.381,4.06105,3.155,10.2974,42.409,22,-92,-7,7,48,150.372,1,1,21.4488,
197.349,2.4157,1.721,11.2293,24.943,14,-88,-6,14,52,197.342,1,1,44.8563,
231.342,1.74773,1.433,9.75706,18.148,19,-88,-6,2,52,231.337,1,1,25.6492,
268.353,1.90152,1.448,10.5056,19.673,16,-93,-6,2,47,268.347,1,1,0,
304.355,1.85107,1.739,8.51558,19.467,14,-94,-6,11,46,304.35,1,1,22.8442,
335.355,1.59327,1.363,9.35154,16.591,9,-90,-7,6,50,335.35,1,1,37.6012,
370.362,1.79923,1.745,8.24864,18.979,8,-95,-6,2,45,370.357,1,1,41.3646,
437.365,3.44453,2.593,10.6271,35.831,6,-92,-6,2,48,437.357,1,1,2.75875,
472.366,1.79979,1.742,8.26541,18.981,12,-93,-6,2,47,472.361,1,1,40.7289,
510.36,1.95385,1.515,10.3173,20.248,20,-89,-6,2,51,510.354,1,1,43.2925,
540.361,1.54262,1.37,9.00801,16.104,22,-83,-6,2,57,540.356,1,1,52.7348,
635.382,4.88359,4.744,8.2354,51.999,4,-102,-9,2,38,635.373,1,1,69.4279,
672.378,1.90044,1.5,10.1357,19.749,8,-92,-10,8,48,672.372,1,1,5.5625,
703.358,1.59335,1.429,8.92008,16.653,12,-82,-6,2,58,703.353,1,1,41.5014,
858.362,7.96723,10.202,6.24758,87.437,2,-105,-10,2,35,858.349,1,1,46.232,
889.345,1.5938,1.324,9.63021,16.542,17,-90,-6,2,50,889.34,1,1,51.861,
919.352,1.54249,1.552,7.95096,16.277,24,-84,-6,2,56,919.347,1,1,53.6482,
969.363,2.56999,2.472,8.31711,27.208,14,-104,-7,2,36,969.356,1,1,9.59931,
