0.112,0,51.49,7.41215,169.412,0,255.599,1,22,-85,-5,2,55,53,7,29391105,262,1,351,13499,
1.283,0,51.49,7.41215,169.419,0,255.599,1,22,-85,-6,2,55,54,7,29391105,262,1,351,13499,
2.288,0,51.49,7.41215,169.533,0,255.599,1,22,-85,-6,2,55,54,7,29391105,262,1,351,13499,
3.287,1.45114,51.49,7.41217,169.646,0,83.6946,1,14,-88,-6,10,52,51,5,29391105,262,1,351,13499,
4.309,2.97487,51.49,7.41219,169.73,0,73.594,1,14,-88,-6,10,52,51,5,29391105,262,1,351,13499,
5.297,4.73944,51.49,7.41221,169.79,0.683364,29.6146,1,19,-88,-6,14,52,50,5,29391105,262,1,351,13499,
6.314,8.08667,51.4901,7.41222,169.774,1.6556,351.329,1,19,-88,-6,14,52,50,5,29391105,262,1,351,13499,
7.282,12.1404,51.4901,7.41222,169.743,2.46234,350.099,1,15,-90,-6,9,50,47,5,29391105,262,1,351,13499,
8.302,16.3068,51.4901,7.41221,169.736,2.85917,344.983,1,15,-90,-6,9,50,47,5,29391105,262,1,351,13499,
9.287,20.6374,51.4902,7.4122,169.762,3.06134,344.13,1,10,-89,-6,14,51,47,7,26385408,262,1,95,13499,
10.289,24.1945,51.4902,7.41219,169.763,3.10919,354.211,1,10,-89,-6,14,51,47,7,26385408,262,1,95,13499,
11.29,26.6019,51.4902,7.41219,169.804,3.06832,16.9059,1,11,-91,-6,14,49,45,7,26385408,262,1,95,13499,
12.296,26.6019,51.4897,7.40731,nan,3.05464,31.6727,1,11,-91,-6,14,49,45,7,26385408,262,1,95,13499,
13.311,26.6019,51.4903,7.41227,170.567,3.15288,64.9291,1,14,-89,-6,9,51,46,7,26385408,262,1,95,13499,
14.296,33.0288,51.4903,7.41236,170.577,3.39158,72.689,1,14,-89,-6,9,51,46,7,26385408,262,1,95,13499,
15.298,41.4327,51.4903,7.41248,170.645,3.78403,77.7333,1,19,-89,-6,11,51,48,7,26385408,262,1,95,13499,
16.296,51.1792,51.4903,7.41262,170.454,10.234,78.9996,1,19,-89,-6,11,51,48,7,26385408,262,1,95,13499,
17.296,61.539,51.4904,7.41276,171.398,11.1777,79.5316,1,21,-86,-6,14,54,52,7,26385408,262,1,95,13499,
18.285,72.407,51.4904,7.41291,171.531,11.6576,79.8199,1,21,-86,-6,14,54,52,7,26385408,262,1,95,13499,
19.297,84.3718,51.4904,7.41308,171.154,12.0019,78.9512,1,20,-90,-6,12,50,48,7,26385408,262,1,95,13499,
20.305,96.4348,51.4904,7.41325,170.311,12.3426,78.4785,1,20,-90,-6,12,50,48,7,26385408,262,1,95,13499,
21.288,108.945,51.4905,7.41343,169.342,12.5555,78.9981,1,24,-85,-5,14,55,51,7,26385408,262,1,95,13499,
22.304,121.737,51.4905,7.41361,168.496,12.9648,79.9499,1,24,-85,-5,14,55,51,7,26385408,262,1,95,13499,
23.293,134.817,51.4905,7.4138,167.251,13.2602,79.5083,1,10,-90,-7,2,50,48,7,26385408,262,1,95,13499,
24.294,148.258,51.4905,7.41399,166.179,13.4258,78.8944,1,10,-90,-7,2,50,48,7,26385408,262,1,95,13499,
25.307,161.685,51.4905,7.41418,165.603,13.508,78.3359,1,12,-91,-8,2,49,50,7,26385408,262,1,95,13499,
26.284,175.25,51.4906,7.41437,165.072,13.5381,77.9421,1,12,-91,-8,2,49,50,7,26385408,262,1,95,13499,
27.322,188.828,51.4906,7.41456,164.767,13.6114,78.6215,1,12,-91,-8,2,49,50,7,26385408,262,1,95,13499,
28.304,202.546,51.4906,7.41476,164.346,13.6086,79.1288,1,12,-90,-8,2,50,49,7,26385408,262,1,95,13499,
29.293,215.867,51.4906,7.41495,163.572,13.2676,80.4386,1,12,-90,-8,2,50,49,7,26385408,262,1,95,13499,
30.296,228.586,51.4906,7.41513,163.126,12.7687,81.7761,1,7,-90,-8,2,50,48,7,26385408,262,1,95,13499,
31.288,240.898,51.4907,7.41531,162.964,12.3986,83.3314,1,7,-90,-8,2,50,48,7,26385408,262,1,95,13499,
32.302,240.898,51.4921,7.42188,nan,12.0663,84.3513,1,22,-85,-7,2,55,53,7,29391105,262,1,351,13499,
33.297,240.898,51.4907,7.41566,162.308,11.7392,85.9181,1,22,-85,-7,2,55,53,7,29391105,262,1,351,13499,
34.29,252.827,51.4907,7.41583,161.589,11.6848,87.6826,1,24,-83,-7,2,57,55,7,29391105,262,1,351,13499,
35.308,265.101,51.4907,7.41601,161.082,11.3881,90.0857,1,24,-83,-7,2,57,55,7,29391105,262,1,351,13499,
36.294,276.368,51.4907,7.41617,160.488,10.6529,92.4673,1,22,-81,-7,2,59,58,7,29391105,262,1,351,13499,
37.283,286.916,51.4906,7.41632,160.187,9.68526,95.233,1,22,-81,-7,2,59,58,7,29391105,262,1,351,13499,
38.311,294.954,51.4906,7.41643,159.996,8.30249,97.6752,1,25,-83,-8,2,57,57,7,29391105,262,1,351,13499,
39.311,305.746,51.4906,7.41658,160.277,6.9845,101.588,1,25,-83,-8,2,57,57,7,29391105,262,1,351,13499,
40.289,315.147,51.4906,7.41672,161.072,6.91781,101.096,1,21,-83,-7,2,57,55,7,29391105,262,1,351,13499,
41.316,321.993,51.4906,7.41681,162.186,6.05989,101.246,1,21,-83,-7,2,57,55,7,29391105,262,1,351,13499,
42.302,326.197,51.4906,7.41687,162.572,5.14459,101.703,1,23,-83,-8,2,57,56,7,29391105,262,1,351,13499,
43.287,330.052,51.4906,7.41692,162.491,4.61387,115.545,1,23,-83,-8,2,57,56,7,29391105,262,1,351,13499,
