0.261,0,51.4903,7.41245,168.632,3.75747,79.123,1,13,-92,-7,2,48,46,6,26385408,262,1,95,13499,
1.4,10.5388,51.4904,7.4126,167.581,4.18936,77.4963,1,14,-91,-6,10,49,48,7,26385408,262,1,95,13499,
2.385,23.24,51.4904,7.41278,166.396,10.9602,80.5202,1,14,-91,-6,10,49,48,7,26385408,262,1,95,13499,
3.375,36.5918,51.4904,7.41297,165.321,11.7939,80.1379,1,14,-85,-5,12,55,51,7,26385408,262,1,95,13499,
4.385,49.5532,51.4904,7.41315,164.619,12.4027,79.347,1,14,-85,-5,12,55,51,7,26385408,262,1,95,13499,
5.39,60.7394,51.4904,7.41331,164.056,12.4031,80.1856,1,12,-89,-6,10,51,49,7,26385408,262,1,95,13499,
6.407,74.1994,51.4905,7.4135,163.694,12.4178,79.4412,1,12,-89,-6,10,51,49,7,26385408,262,1,95,13499,
7.391,85.6217,51.4905,7.41367,162.896,12.3988,79.1607,1,12,-89,-6,10,51,49,7,26385408,262,1,95,13499,
8.391,98.1961,51.4905,7.41385,162.211,12.5277,78.7211,1,2,-90,-7,11,50,49,7,26385408,262,1,95,13499,
9.387,109.658,51.4905,7.41401,161.193,12.827,78.7217,1,2,-90,-7,11,50,49,7,26385408,262,1,95,13499,
10.372,123.85,51.4905,7.41421,160.798,13.1878,78.9337,1,15,-85,-7,11,55,54,7,26385408,262,1,95,13499,
11.376,136.538,51.4906,7.41439,160.295,13.2407,78.8547,1,15,-85,-7,11,55,54,7,26385408,262,1,95,13499,
12.371,148.96,51.4906,7.41457,159.63,13.1057,79.133,1,18,-82,-6,13,58,55,7,26385408,262,1,95,13499,
13.385,161.761,51.4906,7.41475,158.939,13.0116,79.1782,1,18,-82,-6,13,58,55,7,26385408,262,1,95,13499,
14.399,174.079,51.4906,7.41493,158.27,12.6695,79.5414,1,14,-86,-7,14,54,52,7,26385408,262,1,95,13499,
15.385,187.476,51.4906,7.41512,157.745,12.7142,80.681,1,14,-86,-7,14,54,52,7,26385408,262,1,95,13499,
16.379,200.234,51.4907,7.4153,157.07,12.5856,81.9336,1,4,-86,-8,12,54,54,7,26385408,262,1,95,13499,
17.392,212.203,51.4907,7.41547,156.353,12.2354,83.5386,1,4,-86,-8,12,54,54,7,26385408,262,1,95,13499,
18.386,223.811,51.4907,7.41564,155.236,12.171,85.4306,1,21,-83,-6,15,57,54,4,29391105,262,1,351,13499,
19.372,235.954,51.4907,7.41581,154.122,12.1429,88.0134,1,21,-83,-6,15,57,54,4,29391105,262,1,351,13499,
20.371,248.583,51.4907,7.416,153.49,12.2044,90.2105,1,19,-81,-6,12,59,55,4,29391105,262,1,351,13499,
21.411,261.612,51.4907,7.41618,153.205,12.5133,92.2676,1,19,-81,-6,12,59,55,4,29391105,262,1,351,13499,
22.382,274.07,51.4907,7.41636,153.218,12.7881,94.5467,1,15,-81,-6,14,59,56,4,29391105,262,1,351,13499,
23.386,286.758,51.4906,7.41654,153.118,13.2002,97.2999,1,15,-81,-6,14,59,56,4,29391105,262,1,351,13499,
24.386,299.932,51.4906,7.41673,153.753,11.7849,98.7852,1,23,-81,-5,12,59,55,4,29391105,262,1,351,13499,
25.384,310.656,51.4906,7.41688,154.3,9.48408,99.5317,1,23,-81,-5,12,59,55,4,29391105,262,1,351,13499,
26.366,319.914,51.4906,7.41702,154.966,7.74804,98.0376,1,25,-75,-6,15,65,63,4,29391105,262,1,351,13499,
27.38,328.023,51.4906,7.41713,155.362,5.90142,80.0819,1,25,-75,-6,15,65,63,4,29391105,262,1,351,13499,
28.397,332.207,51.4906,7.41718,155.74,4.64733,48.4244,1,10,-85,-6,10,55,51,4,29391105,262,1,351,13499,
29.371,335.578,51.4906,7.41721,155.792,3.70875,31.3726,1,10,-85,-6,10,55,51,4,29391105,262,1,351,13499,
30.379,338.231,51.4907,7.4172,155.816,4.13753,10.9932,1,10,-85,-6,10,55,51,4,29391105,262,1,351,13499,
31.412,342.075,51.4907,7.41719,155.881,5.53256,355.805,1,21,-88,-7,15,52,50,4,29391105,262,1,351,13499,
32.369,348.335,51.4908,7.41719,156.198,7.40409,353.717,1,21,-88,-7,15,52,50,4,29391105,262,1,351,13499,
33.378,354.416,51.4908,7.41717,156.349,7.41269,352.54,1,15,-91,-7,10,49,47,4,29391105,262,1,351,13499,
34.387,361.956,51.4909,7.41718,156.079,6.38829,15.7344,1,15,-91,-7,10,49,47,4,29391105,262,1,351,13499,
35.374,366.541,51.4909,7.41723,155.903,6.78588,60.8645,1,13,-89,-6,9,51,48,4,29391105,262,1,351,13499,
36.362,371.544,51.4909,7.4173,155.219,7.93811,90.2666,1,13,-89,-6,9,51,48,4,29391105,262,1,351,13499,
37.386,380.848,51.4909,7.41744,154.789,8.23909,91.5429,1,4,-94,-8,11,46,45,4,29391105,262,1,351,13499,
38.396,390.28,51.4909,7.41757,154.526,8.92948,91.2056,1,4,-94,-8,11,46,45,4,29391105,262,1,351,13499,
39.387,400.072,51.4909,7.41772,154.375,9.2784,91.5592,1,11,-97,-7,2,43,41,4,29391105,262,1,351,13499,
40.409,410.386,51.4909,7.41786,154.303,10.1282,92.605,1,11,-97,-7,2,43,41,4,29391105,262,1,351,13499,
41.38,420.823,51.4909,7.41801,154.29,10.3214,93.377,1,17,-96,-8,2,44,44,4,29391105,262,1,351,13499,
42.389,431.314,51.4909,7.41816,154.067,10.8343,95.2655,1,17,-96,-8,2,44,44,4,29391105,262,1,351,13499,
