1.197,0.051393,0.236,1.7421,0.478,18,-88,-8,2,52,1.196,1,1,0
16.989,0.82251,1.192,5.5202,8.899,16,-91,-6,14,49,16.987,1,1,11.606
31.996,0.77132,1.471,4.1948,8.703,14,-93,-7,10,47,31.995,1,1,44.406
41.998,0.51425,0.691,5.9537,5.425,18,-85,-6,11,55,41.997,1,1,38.196
57.005,0.77104,0.776,7.9489,8.017,13,-87,-5,10,53,57.004,1,1,0
68.988,0.61696,0.712,6.9321,6.433,18,-85,-6,12,55,68.987,1,1,0
85.99,0.87384,1.189,5.8795,9.415,8,-95,-8,10,45,85.988,1,1,20.96
135.01,2.519,2.441,8.2556,26.684,4,-90,-6,2,50,135,1,1,26.997
179,2.2609,2.294,7.8846,24.027,15,-92,-7,2,48,178.99,1,1,43.786
203.01,1.2335,1.253,7.8753,12.996,13,-92,-6,2,48,203.01,1,1,28.74
221.01,0.92478,1.192,6.2066,9.933,10,-93,-6,13,47,221.01,1,1,31.963
257,1.8503,1.61,9.1938,19.34,13,-99,-8,2,41,256.99,1,1,16.347
314,2.9295,1.729,13.555,29.964,16,-89,-5,12,51,313.99,1,1,28.441
327.03,0.66864,1.142,4.684,7.407,7,-83,-5,6,57,327.03,1,1,36.777
339,0.61678,1.159,4.2573,6.894,11,-99,-8,9,41,339,1,1,15.59
375,1.8505,1.477,10.023,19.211,16,-95,-5,2,45,374.99,1,1,41.604
469,4.8318,3.517,10.991,50.248,15,-94,-7,2,46,468.99,1,1,34.212
511.99,2.2105,1.537,11.505,22.763,16,-90,-6,2,50,511.99,1,1,40.617
522.99,0.56523,0.709,6.3778,5.933,18,-85,-5,12,55,522.99,1,1,54.934
533.99,0.56537,0.716,6.317,5.945,11,-86,-5,10,54,533.99,1,1,57.294
562.98,1.4907,1.529,7.7994,15.744,11,-94,-8,2,46,562.98,1,1,14.967
609.02,2.3644,2.164,8.7409,24.921,11,-97,-9,2,43,609.02,1,1,32.281
696.03,4.4728,2.36,15.162,45.622,7,-91,-7,10,49,696.02,1,1,33.737
707.01,0.56513,0.702,6.4403,5.946,22,-82,-5,15,58,707.01,1,1,0
723,0.82303,1.185,5.5563,8.915,22,-82,-6,15,58,722.99,1,1,0
736.02,0.66833,0.768,6.9618,7.02,15,-87,-5,11,53,736.01,1,1,38.052
857,6.2214,39.72,1.2531,99.955,-4,-116,-13,2,24,856.99,1,1,0
956.02,5.0902,3.423,11.897,52.679,20,-91,-5,8,49,956.01,1,1,54.155
970.01,0.7193,0.733,7.8505,7.474,22,-86,-5,15,54,970,1,1,51.685
