89.686,4.57607,2.265,16.1627,46.472,27,-79,-5,15,61,89.67,1,1,49.5466,
122.673,1.69726,1.207,11.2495,17.392,28,-79,-5,15,61,122.668,1,1,61.5327,
216.679,4.83049,2.157,17.9156,48.849,22,-80,-5,14,60,216.663,1,1,76.5348,
247.67,1.59389,1.101,11.5814,16.283,28,-82,-5,15,58,247.665,1,1,63.2548,
335.663,4.52408,2.122,17.0559,45.802,30,-84,-5,15,56,335.648,1,1,101.914,
370.668,1.79917,1.156,12.451,18.337,21,-73,-5,13,67,370.662,1,1,106.081,
482.663,5.75604,2.47,18.643,58.148,24,-78,-5,15,62,482.646,1,1,119.21,
572.686,4.62623,2.091,17.6996,46.792,24,-75,-4,13,65,572.667,1,1,18.0819,
672.163,4.72856,2.412,15.6835,54.116,31,-72,-5,14,68,672.147,1,1,39.0513,
708.183,1.85063,1.331,11.1233,19.029,24,-79,-6,14,61,708.178,1,1,49.6963,
